Iteration,Events,Ants,Evaporation,Update,Render,Blit,Total_Iter
100,0.0504235,1.33181,0.531356,0.0147493,14.7897,15.9897,32.7081
200,0.0507192,1.3904,0.579178,0.0148377,14.8131,16.1565,33.0051
300,0.0493145,1.35677,0.57306,0.0147357,15,16.1095,33.1038
400,0.0469758,1.29889,0.540368,0.0146712,15.2902,15.9626,33.1541
500,0.0448058,1.26225,0.525991,0.0147693,15.5793,15.7563,33.1838
600,0.0429809,1.20778,0.502402,0.014684,15.8309,15.6042,33.2034
700,0.0417286,1.19983,0.496509,0.0147673,16.135,15.3299,33.2181
800,0.0409242,1.18303,0.487996,0.0148212,16.4681,15.0336,33.2289
900,0.0402586,1.17117,0.481952,0.0149931,16.799,14.7292,33.2371
1000,0.0394407,1.16068,0.477397,0.0149604,17.1341,14.4168,33.2438
1100,0.0387221,1.15096,0.475944,0.0149602,17.4624,14.1058,33.2492
1200,0.0381443,1.13422,0.470871,0.0148931,17.8477,13.7475,33.2537
1300,0.0373221,1.12602,0.470899,0.0148698,18.2229,13.3851,33.2575
1400,0.0365763,1.118,0.471993,0.0149461,18.7062,12.9125,33.2607
1500,0.0358989,1.10902,0.469991,0.0149725,19.1678,12.4654,33.2635
1600,0.0354776,1.10115,0.468284,0.0149526,19.5824,12.0632,33.266
1700,0.034806,1.09416,0.468334,0.0150227,20.0323,11.6233,33.2683
1800,0.0341588,1.08501,0.466969,0.015069,20.4629,11.2057,33.2702
1900,0.0339309,1.08754,0.472775,0.0150733,20.8503,10.812,33.272
2000,0.0360312,1.08669,0.476156,0.0150658,21.2337,10.4255,33.2735
2100,0.0352437,1.07908,0.474301,0.0150165,21.6415,10.0418,33.2873
2200,0.0344922,1.0723,0.472852,0.0149714,22.0048,9.68401,33.2838
2300,0.0338207,1.06169,0.470836,0.0149327,22.375,9.34276,33.2995
2400,0.0370986,1.06035,0.474322,0.0149054,22.6943,9.02698,33.3084
2500,0.0363602,1.05434,0.472301,0.0148333,23.0131,8.72404,33.3154
2600,0.0358933,1.04954,0.471262,0.0147835,23.3133,8.43542,33.3206
2700,0.0353414,1.04352,0.471888,0.0147152,23.5941,8.17403,33.3339
2800,0.0346952,1.03154,0.468233,0.0146214,23.8655,7.92164,33.3366
2900,0.0341018,1.01927,0.464292,0.014501,24.1216,7.68494,33.3391
3000,0.0334486,1.00856,0.462155,0.0143792,24.3564,7.4662,33.3415
3100,0.0329408,0.997413,0.459213,0.0142662,24.5888,7.25746,33.3504
3200,0.0323978,0.987898,0.456502,0.0141549,24.8264,7.06103,33.3788
3300,0.0318325,0.978623,0.454451,0.0140443,25.0223,6.87635,33.3779
3400,0.0313203,0.969604,0.452231,0.0139352,25.2174,6.69725,33.3821
3500,0.030872,0.961252,0.450222,0.013837,25.3985,6.5318,33.3868
3600,0.0304299,0.952114,0.448115,0.0137477,25.5828,6.37293,33.4005
3700,0.0300353,0.945265,0.445018,0.0136484,25.7709,6.22346,33.4287
3800,0.0296151,0.937942,0.443744,0.0135646,25.9478,6.0815,33.4545
3900,0.0292872,0.929407,0.441038,0.013474,26.1069,5.95018,33.4706
4000,0.0288888,0.923057,0.440035,0.0134042,26.3226,5.82498,33.5533
4100,0.0285701,0.917456,0.439037,0.0133382,26.6022,5.70953,33.7105
4200,0.0286942,0.912682,0.43873,0.0132929,26.8842,5.59705,33.8749
4300,0.0286895,0.908229,0.437451,0.0132419,27.1799,5.49282,34.0607
4400,0.0284602,0.904009,0.437061,0.0131888,27.4873,5.39363,34.264
4500,0.028274,0.90069,0.438391,0.0131685,27.8572,5.29444,34.5325
4600,0.0280298,0.895267,0.437887,0.0131181,28.1014,5.2033,34.6793
4700,0.0278323,0.89095,0.437895,0.0130928,28.4253,5.11617,34.9115
4800,0.0276567,0.887564,0.437835,0.0130651,28.7929,5.02818,35.1875
4900,0.027623,0.884291,0.438055,0.0130356,29.1343,4.94643,35.444
5000,0.0274672,0.87969,0.437483,0.0129935,29.4619,4.86612,35.6859
5100,0.027236,0.874991,0.436612,0.0129472,29.7791,4.79095,35.9221
5200,0.0270069,0.869704,0.435143,0.0128984,30.0767,4.72079,36.1426
5300,0.0267541,0.865947,0.435051,0.0128712,30.4125,4.65283,36.4062
5400,0.0265127,0.861445,0.434529,0.0128299,30.7336,4.5857,36.6549
5500,0.0263082,0.857113,0.433501,0.0127866,31.0446,4.52202,36.8967
5600,0.0262378,0.854582,0.434709,0.0127768,31.4252,4.45782,37.2117
5700,0.02604,0.850485,0.434155,0.0127501,31.7488,4.39574,37.4682
5800,0.026102,0.848948,0.433723,0.0127195,32.0925,4.3401,37.7544
5900,0.026163,0.844975,0.433011,0.0126803,32.4306,4.28568,38.0334
6000,0.0259696,0.842072,0.432893,0.0126615,32.7895,4.23256,38.336
6100,0.0257928,0.838397,0.432014,0.0126252,33.1144,4.18073,38.6043
6200,0.0256245,0.834427,0.431227,0.0125851,33.4116,4.1323,38.848
6300,0.0254584,0.830739,0.430086,0.0125428,33.6857,4.08457,39.0694
6400,0.0252749,0.82724,0.429564,0.0125143,34.0065,4.04017,39.3415
6500,0.0251084,0.823551,0.428431,0.0124757,34.2849,3.99887,39.5737
6600,0.0249351,0.820824,0.42787,0.0124466,34.5852,3.95467,39.8262
