Iteration,Events,Ants,Evaporation,Update,Render,Blit,Total_Iter
100,0.0588515,2.47122,2.70391,0.0205438,12.3971,15.4522,33.1043
200,0.0479667,3.12186,3.49809,0.0186446,11.1521,15.364,33.203
300,0.0417634,2.73303,3.07547,0.018971,11.7152,15.6501,33.2349
400,0.0389299,2.60028,2.89858,0.0195221,11.9862,15.7085,33.2524
500,0.0404783,2.59786,2.85264,0.0195935,12.0217,15.7299,33.2625
600,0.0381261,2.49071,2.78778,0.0198378,12.1418,15.7904,33.269
700,0.0360983,2.3891,2.74952,0.0196744,12.2286,15.8511,33.2744
800,0.0345155,2.38844,2.76646,0.0193754,12.2171,15.8513,33.2775
900,0.0334487,2.37342,2.75636,0.0191832,12.2244,15.8738,33.281
1000,0.0327295,2.29696,2.66864,0.0190998,12.3568,15.9086,33.2832
1100,0.0320245,2.2588,2.64172,0.019134,12.3972,15.9356,33.2849
1200,0.0314892,2.22744,2.64979,0.0190681,12.4104,15.948,33.2865
1300,0.030965,2.19389,2.6232,0.0190183,12.4564,15.9642,33.288
1400,0.0303253,2.20843,2.62659,0.0188913,12.4457,15.9586,33.2889
1500,0.0297156,2.23739,2.64485,0.0186218,12.4187,15.9401,33.2898
1600,0.0290304,2.24632,2.65965,0.0184144,12.4157,15.9212,33.2907
1700,0.0286782,2.2436,2.65786,0.0188079,12.4074,15.9347,33.2914
1800,0.0284483,2.21651,2.63799,0.0188204,12.436,15.9532,33.2914
1900,0.0283957,2.19945,2.62763,0.0187905,12.4561,15.9613,33.292
2000,0.0282083,2.1705,2.59193,0.0188358,12.5059,15.9769,33.2926
2100,0.0280855,2.14237,2.56782,0.0188754,12.5438,15.9917,33.2931
2200,0.028046,2.11364,2.5357,0.0189274,12.5896,16.0073,33.2936
2300,0.027907,2.10197,2.53906,0.0189952,12.5876,16.0181,33.294
2400,0.0278491,2.09299,2.54664,0.0189635,12.5816,16.026,33.2944
2500,0.0277924,2.08796,2.5362,0.0189676,12.5957,16.0278,33.2948
2600,0.0277257,2.06286,2.51532,0.0189887,12.6324,16.0375,33.2951
2700,0.0276362,2.04254,2.5037,0.0190269,12.6565,16.0456,33.2954
2800,0.0275303,2.02744,2.49735,0.0190703,12.6721,16.0525,33.2963
2900,0.0274663,2.00267,2.47179,0.0190836,12.7122,16.0625,33.296
3000,0.0274015,1.98652,2.45925,0.0191186,12.7322,16.0714,33.2962
3100,0.0273446,1.98045,2.4491,0.0191325,12.7477,16.0723,33.2964
3200,0.0274047,1.99233,2.46083,0.0190925,12.748,16.0487,33.2967
3300,0.0274322,2.00131,2.47014,0.0190986,12.7457,16.0328,33.2969
3400,0.0273756,1.99997,2.46986,0.0190716,12.7515,16.029,33.2971
3500,0.0273191,2.00349,2.47609,0.019047,12.7508,16.0201,33.2973
3600,0.027268,2.00224,2.47198,0.0190229,12.7637,16.0129,33.2975
3700,0.027257,1.99629,2.47144,0.0190168,12.7694,16.0139,33.2977
3800,0.0271904,1.99614,2.47118,0.0189859,12.7766,16.0074,33.2979
3900,0.0270835,2.00405,2.48343,0.0190271,12.7655,15.9985,33.298
4000,0.026956,2.02368,2.50191,0.018952,12.7447,15.9814,33.2981
4100,0.0268437,2.04308,2.52009,0.0188405,12.7261,15.9628,33.2982
4200,0.026755,2.04531,2.52151,0.0188004,12.7396,15.9459,33.2983
4300,0.0267826,2.04771,2.51871,0.0188249,12.7493,15.9367,33.2985
4400,0.0267585,2.0319,2.50249,0.0188584,12.7779,15.9403,33.2986
4500,0.0266909,2.02253,2.49927,0.0188867,12.7902,15.9407,33.2987
4600,0.0266619,2.01097,2.48957,0.0189229,12.8083,15.944,33.2988
4700,0.0266662,1.99728,2.47663,0.0189643,12.8321,15.9469,33.2989
4800,0.0266234,1.99406,2.48163,0.0189775,12.8303,15.947,33.299
4900,0.026589,1.98176,2.47013,0.0190051,12.8521,15.9492,33.2991
5000,0.0265492,1.97228,2.46413,0.0190362,12.8677,15.9491,33.2992
5100,0.0265464,1.95951,2.45203,0.0190548,12.8916,15.9503,33.2993
5200,0.0265224,1.94558,2.44191,0.0190768,12.9126,15.9534,33.2994
5300,0.0265151,1.93394,2.43413,0.0190942,12.9303,15.9551,33.2994
5400,0.0264832,1.92473,2.4269,0.0191027,12.9445,15.9575,33.2996
5500,0.0264599,1.91353,2.4197,0.0191286,12.9622,15.9582,33.2997
5600,0.0264412,1.9032,2.4121,0.0191543,12.979,15.9594,33.2997
5700,0.0264317,1.89391,2.40767,0.0191581,12.9919,15.9603,33.2997
5800,0.0264246,1.8841,2.3988,0.0191782,13.0099,15.961,33.2998
5900,0.0264183,1.87875,2.39657,0.0191817,13.018,15.9606,33.2999
6000,0.0264332,1.8702,2.38477,0.0191762,13.0377,15.9612,33.2999
6100,0.0264103,1.86406,2.38108,0.0191895,13.0473,15.9614,33.2999
6200,0.0263926,1.85389,2.37704,0.019203,13.06,15.9631,33.3
6300,0.0263487,1.84798,2.37886,0.019222,13.0645,15.9627,33.3
6400,0.0263149,1.84454,2.38289,0.0192167,13.0658,15.9609,33.3
6500,0.0263308,1.83455,2.37589,0.0192318,13.0804,15.9634,33.3001
6600,0.0263201,1.83087,2.37688,0.0192312,13.0844,15.962,33.3002
6700,0.0263189,1.82389,2.37285,0.0192383,13.0937,15.9638,33.3002
6800,0.0263155,1.81677,2.37215,0.0192424,13.1017,15.9637,33.3002
6900,0.0263268,1.80867,2.36688,0.0192569,13.1134,15.9655,33.3003
7000,0.0263319,1.79937,2.35578,0.0192758,13.1313,15.9679,33.3004
7100,0.0263339,1.79336,2.3501,0.0192919,13.1429,15.968,33.3004
7200,0.0263016,1.78728,2.35107,0.0193138,13.1484,15.9677,33.3005
7300,0.0262876,1.78126,2.35016,0.0193151,13.1551,15.968,33.3005
7400,0.0262866,1.77765,2.34712,0.0193182,13.1632,15.9666,33.3005
7500,0.0263326,1.77766,2.3472,0.0193156,13.1644,15.9653,33.3006
7600,0.0263469,1.77229,2.34198,0.019323,13.178,15.9623,33.3006
7700,0.0263209,1.77172,2.34433,0.0193271,13.1804,15.9582,33.3007
7800,0.0263292,1.76787,2.33802,0.0193453,13.1922,15.9566,33.3007
7900,0.0263402,1.7601,2.33055,0.0193486,13.2067,15.9574,33.3008
8000,0.0263621,1.7597,2.32892,0.0193439,13.2129,15.9532,33.3007
8100,0.0264278,1.76176,2.33068,0.0193382,13.2129,15.9493,33.3008
8200,0.0264428,1.75814,2.32969,0.0193444,13.2186,15.9482,33.3008
8300,0.0264285,1.75456,2.32778,0.0193528,13.2262,15.9462,33.3009
8400,0.0264212,1.75277,2.32764,0.0193497,13.2307,15.9436,33.3009
8500,0.0264235,1.74856,2.32175,0.0193508,13.2416,15.9429,33.3009
8600,0.0264177,1.74496,2.31959,0.0193603,13.247,15.9433,33.301
8700,0.0264325,1.74107,2.3197,0.0193659,13.2519,15.9421,33.301
8800,0.0264233,1.73926,2.3182,0.0193668,13.2567,15.9407,33.301
8900,0.0264772,1.744,2.31794,0.0193643,13.2602,15.9327,33.3011
La première nourriture est arrivée au nid a l'iteration 1996
