Iteration,Events,Ants,Evaporation,Update,Render,Blit,Total_Iter
100,0.0594463,1.81276,0.434536,0.0119872,14.101,15.7733,32.1933
200,0.0464243,1.60472,0.384289,0.0114892,14.6353,16.063,32.7455
300,0.0436122,1.6712,0.392164,0.011653,14.8071,16.0057,32.9318
400,0.0408185,1.6988,0.392438,0.0119428,14.9691,15.9118,33.0252
500,0.0391338,1.81691,0.412731,0.0122339,15.0331,15.7667,33.0811
600,0.0395048,1.82512,0.411409,0.0123354,15.2107,15.6189,33.1184
700,0.0394895,1.85835,0.421383,0.0125859,15.4257,15.387,33.145
800,0.0394874,1.85704,0.419008,0.0124849,15.6,15.2361,33.1645
900,0.0392753,1.87636,0.424367,0.0126585,15.7664,15.0607,33.1802
1000,0.0391829,1.86912,0.424479,0.0126132,16.0105,14.8359,33.1922
1100,0.0389518,1.87303,0.432081,0.0127644,16.3409,14.5045,33.2025
1200,0.0388023,1.85676,0.429531,0.012744,16.6086,14.264,33.2108
1300,0.0382329,1.83386,0.423198,0.0126152,16.8495,14.0603,33.2181
1400,0.0383073,1.81225,0.418074,0.0125349,17.1719,13.7709,33.2243
1500,0.0377181,1.79604,0.413272,0.012401,17.3701,13.5997,33.2295
1600,0.0372845,1.77843,0.40953,0.0123203,17.6123,13.384,33.2342
1700,0.036741,1.76242,0.407351,0.0123217,17.9173,13.1019,33.2383
1800,0.0363914,1.74784,0.405129,0.0122541,18.2249,12.815,33.2418
1900,0.0359548,1.73412,0.404816,0.0122632,18.5577,12.5,33.2452
2000,0.0356883,1.72135,0.404007,0.0122445,18.8763,12.1981,33.2481
2100,0.0353551,1.71631,0.406396,0.012266,19.2522,11.8305,33.2533
2200,0.0350911,1.70642,0.407702,0.0123167,19.6148,11.4767,33.2533
2300,0.0345819,1.69577,0.407346,0.012263,19.9705,11.1359,33.2566
2400,0.0342159,1.69741,0.411456,0.0123252,20.3756,10.7545,33.2859
2500,0.0338932,1.69796,0.416983,0.0123933,20.7423,10.3887,33.2925
2600,0.0334105,1.68652,0.416899,0.0124036,21.0689,10.0747,33.2931
2700,0.0328319,1.67301,0.415981,0.0123442,21.397,9.76217,33.2936
2800,0.0324814,1.66181,0.418373,0.0123495,21.7091,9.47418,33.3086
2900,0.0320093,1.6456,0.416695,0.0122937,22.0132,9.1918,33.3119
3000,0.0316614,1.62871,0.416,0.0122557,22.2876,8.93712,33.3137
3100,0.0319524,1.61291,0.415545,0.0122131,22.5472,8.69143,33.3116
3200,0.0314672,1.59889,0.415151,0.0121976,22.8018,8.4575,33.3173
3300,0.0310481,1.58781,0.414814,0.0121616,23.0303,8.24081,33.3173
3400,0.030523,1.57366,0.413309,0.0121318,23.2469,8.03973,33.3166
3500,0.03006,1.55786,0.411708,0.0120831,23.4683,7.83612,33.3164
3600,0.0296149,1.53922,0.409942,0.0120149,23.7003,7.63416,33.3255
3700,0.0291554,1.52291,0.408013,0.0119505,23.9214,7.44082,33.3346
3800,0.0287343,1.51358,0.407718,0.0119278,24.1524,7.27618,33.3908
3900,0.0284838,1.50101,0.406728,0.0118804,24.3647,7.11268,33.4258
4000,0.0282472,1.49166,0.407029,0.0118746,24.6037,6.95832,33.5011
4100,0.027955,1.47988,0.406766,0.0118411,24.8007,6.81092,33.5383
4200,0.0276289,1.46737,0.405551,0.0118066,25.0358,6.67121,33.6197
4300,0.0274112,1.45875,0.406573,0.0118077,25.3449,6.53947,33.7892
4400,0.0271907,1.44849,0.407115,0.0117948,25.6816,6.41153,33.9881
4500,0.0269636,1.43928,0.407281,0.0117688,25.9584,6.29451,34.1385
4600,0.0266863,1.42763,0.406373,0.0117365,26.1968,6.18299,34.2525
4700,0.0265305,1.41938,0.406527,0.0117113,26.5293,6.07471,34.4685
4800,0.026419,1.41375,0.407446,0.0117196,26.9094,5.96553,34.7346
4900,0.0262662,1.40862,0.409506,0.0117182,27.3202,5.86125,35.0378
5000,0.0260832,1.40002,0.409175,0.0116937,27.6669,5.76531,35.2795
5100,0.0258815,1.39241,0.408956,0.0116808,27.984,5.6709,35.4941
5200,0.0256493,1.38314,0.408634,0.0116564,28.3142,5.5823,35.7259
5300,0.0254475,1.37564,0.408642,0.0116588,28.656,5.49729,35.9749
5400,0.0252431,1.36849,0.408392,0.0116426,28.9625,5.41312,36.1897
5500,0.0251114,1.36233,0.408664,0.0116354,29.2917,5.33318,36.4329
5600,0.0250118,1.3561,0.408786,0.0116233,29.6853,5.25811,36.7452
5700,0.0248985,1.35045,0.408765,0.0116146,30.0159,5.18573,36.9977
5800,0.0247877,1.34603,0.409257,0.0116217,30.37,5.11447,37.2764
5900,0.0248354,1.34093,0.408991,0.0116196,30.7315,5.04847,37.5666
6000,0.0248259,1.33558,0.409085,0.0116119,31.0666,4.98366,37.8317
La première nourriture est arrivée au nid a l'iteration 1996
