Iteration,Events,Ants,Evaporation,Update,Render,Blit,Total_Iter
100,0.0597586,1.30796,0.385862,0.0236398,14.4804,15.7153,31.9734
200,0.0448341,1.15776,0.293101,0.0216163,15.0891,16.0293,32.6361
300,0.0412696,1.25829,0.356325,0.0214012,15.1554,16.0263,32.8594
400,0.0392709,1.21752,0.321434,0.0214229,15.4356,15.9349,32.9705
500,0.0377104,1.17086,0.296638,0.0210563,15.7141,15.7964,33.0372
600,0.0361772,1.13051,0.276555,0.0212238,15.9551,15.6617,33.0816
700,0.0351737,1.10722,0.26399,0.02102,16.2496,15.4358,33.1132
800,0.0342622,1.07566,0.252116,0.020826,16.5277,15.2261,33.1371
900,0.0337576,1.06618,0.24569,0.0207289,16.83,14.9589,33.1557
1000,0.033042,1.05386,0.239599,0.0208263,17.1103,14.7122,33.1703
1100,0.0326118,1.04068,0.234821,0.0208594,17.4393,14.4138,33.1825
1200,0.0322013,1.02983,0.23091,0.0207721,17.7363,14.1421,33.1924
1300,0.0318858,1.02412,0.228164,0.0206507,18.0765,13.8193,33.201
1400,0.0316579,1.01959,0.226144,0.0206251,18.4274,13.4824,33.2082
1500,0.0313916,1.01862,0.225023,0.0206151,18.7473,13.1712,33.2146
1600,0.0310725,1.01063,0.222932,0.0206075,19.1205,12.8141,33.2202
1700,0.0307718,1.00349,0.221586,0.0203733,19.3971,12.5513,33.225
1800,0.0304783,0.998779,0.220607,0.0202733,19.7128,12.2462,33.2295
1900,0.0301565,0.993144,0.219943,0.0200053,19.9338,12.0359,33.2334
2000,0.0296605,0.98866,0.219407,0.0197612,20.1852,11.7937,33.2367
2100,0.029227,0.987415,0.219851,0.0195649,20.444,11.5396,33.2399
2200,0.0287633,0.984174,0.220059,0.0192897,20.6988,11.295,33.2464
2300,0.0281775,0.984384,0.220448,0.0190359,20.8775,11.1155,33.2454
2400,0.0276818,0.981571,0.220241,0.018805,21.1292,10.87,33.2478
2500,0.027123,0.980879,0.220187,0.0185824,21.3151,10.688,33.2502
2600,0.0268014,0.979824,0.220247,0.0184003,21.6017,10.4048,33.2521
2700,0.0265003,0.986715,0.229982,0.0182809,21.8607,10.1315,33.2541
2800,0.0261807,0.988155,0.233711,0.0181859,22.0807,9.90858,33.2558
2900,0.0259282,0.985784,0.234571,0.0180281,22.3157,9.67713,33.2575
3000,0.0256149,0.982951,0.235466,0.0178712,22.5678,9.42897,33.259
3100,0.0252776,0.979853,0.235041,0.0177193,22.7923,9.20994,33.2605
3200,0.0249988,0.974828,0.234604,0.017574,23.0242,8.98532,33.2618
3300,0.0247442,0.969176,0.234097,0.0174447,23.2623,8.755,33.2631
3400,0.0244317,0.963036,0.233728,0.0172813,23.4917,8.53685,33.2674
3500,0.0241132,0.954026,0.233223,0.0171476,23.7132,8.32434,33.2664
3600,0.0238028,0.94622,0.232873,0.0170097,23.9305,8.11726,33.268
3700,0.023505,0.93831,0.232566,0.0168742,24.1374,7.91938,33.2683
3800,0.0232198,0.930444,0.231694,0.0167565,24.3339,7.7359,33.2722
3900,0.0229346,0.922643,0.231161,0.0166195,24.5214,7.55809,33.2731
4000,0.0226714,0.914515,0.230812,0.0164937,24.7014,7.3854,33.2716
4100,0.0224408,0.906238,0.230056,0.0163799,24.8762,7.22081,33.2725
4200,0.0223021,0.900565,0.229926,0.0162618,25.0681,7.06384,33.3013
4300,0.0221646,0.894886,0.230131,0.0161504,25.2284,6.92033,33.3124
4400,0.0220128,0.88906,0.229812,0.0160596,25.387,6.77982,33.324
4500,0.0218807,0.883714,0.229479,0.0159938,25.5278,6.64921,33.3284
4600,0.0217004,0.878323,0.22924,0.0158991,25.6687,6.51877,33.3329
4700,0.0215796,0.873315,0.228864,0.0158193,25.8196,6.39767,33.3571
4800,0.0214995,0.867512,0.22821,0.0157474,25.967,6.27928,33.3796
4900,0.021377,0.862222,0.227994,0.0156666,26.1227,6.16603,33.4163
5000,0.021283,0.857192,0.228,0.0155932,26.2887,6.05821,33.4693
5100,0.0211253,0.852078,0.227639,0.0155287,26.4744,5.95844,33.5495
5200,0.0209799,0.847028,0.227258,0.0154945,26.7357,5.85991,33.7067
5300,0.0208844,0.843272,0.226691,0.0155256,27.0846,5.76937,33.9606
5400,0.0207536,0.838786,0.226219,0.0155236,27.3723,5.67956,34.1534
5500,0.0206934,0.83595,0.227081,0.0157682,27.595,5.59269,34.2875
La première nourriture est arrivée au nid a l'iteration 1996
