Iteration,Events,Ants,Evaporation,Update,Render,Blit,Total_Iter
100,0.0407319,3.25756,3.63723,0.0181202,10.2625,15.8051,33.0216
200,0.0316501,2.44888,2.92575,0.0193248,11.7027,16.034,33.1627
300,0.030019,2.24569,2.6777,0.0194204,12.2953,15.9395,33.208
400,0.0291651,2.15875,2.58022,0.0195269,12.7027,15.7414,33.2322
500,0.0288159,2.03472,2.41305,0.0197044,13.2344,15.5157,33.2467
600,0.0284129,2.13067,2.57472,0.0198061,13.2489,15.2535,33.2564
700,0.0293991,2.23439,2.73834,0.0195895,13.3229,14.9175,33.2625
800,0.0289959,2.22825,2.80145,0.0193111,13.5239,14.6659,33.2682
900,0.0285955,2.16827,2.72944,0.0194093,13.9449,14.3808,33.2717
1000,0.0282815,2.09955,2.61207,0.0200012,14.4493,14.0656,33.2752
1100,0.0278474,2.06308,2.56477,0.0199573,14.8451,13.7567,33.2778
1200,0.027416,2.06505,2.56146,0.0199137,15.1417,13.4637,33.2797
1300,0.0275251,2.07608,2.58459,0.0197645,15.3629,13.2104,33.2816
1400,0.0272031,2.0565,2.54774,0.019678,15.7045,12.9271,33.2831
1500,0.026853,2.03994,2.5283,0.0195426,16.0074,12.6622,33.2846
1600,0.0265234,2.03578,2.53873,0.0194369,16.2518,12.413,33.2857
1700,0.026598,2.03769,2.54846,0.0192399,16.5058,12.1487,33.2868
1800,0.0262704,2.03967,2.59561,0.019684,16.8711,11.735,33.2877
1900,0.0258852,2.04438,2.5958,0.02021,17.3773,11.2263,33.2903
2000,0.0256124,2.02762,2.59791,0.0205363,17.8598,10.7574,33.2893
2100,0.025219,2.01585,2.57468,0.0202987,18.1042,10.5493,33.2899
2200,0.0248426,2.0113,2.58059,0.0200902,18.3197,10.3336,33.2906
2300,0.0243845,1.99481,2.55468,0.0198791,18.571,10.126,33.2911
2400,0.0239894,1.9698,2.51877,0.0196657,18.8422,9.9179,33.2927
2500,0.0235874,1.95037,2.49378,0.0194669,19.0909,9.7142,33.2926
2600,0.0232264,1.9183,2.44052,0.0192921,19.3569,9.53406,33.2927
2700,0.022902,1.89431,2.4101,0.019113,19.6297,9.32268,33.2992
2800,0.0225945,1.87087,2.36854,0.0189421,19.9013,9.11681,33.2994
2900,0.0223104,1.85218,2.33803,0.0187935,20.159,8.90964,33.3003
3000,0.022014,1.82774,2.30321,0.0186565,20.4255,8.70228,33.2997
3100,0.0217765,1.81017,2.27854,0.0185141,20.6819,8.48864,33.2998
3200,0.021569,1.7898,2.25302,0.0183671,20.9506,8.26938,33.3031
3300,0.0213269,1.77338,2.22793,0.0182378,21.2025,8.05862,33.3024
3400,0.0210719,1.76643,2.21958,0.0181225,21.4343,7.85132,33.3111
3500,0.0208926,1.76371,2.21806,0.0180196,21.6629,7.6511,33.335
3600,0.020723,1.76906,2.22931,0.0179167,21.904,7.46191,33.4033
3700,0.0204898,1.75686,2.20541,0.0178094,22.1539,7.27948,33.4343
3800,0.0202797,1.74179,2.18744,0.0177027,22.3772,7.11107,33.4558
3900,0.0201171,1.74796,2.20402,0.0176285,22.6062,6.95072,33.547
4000,0.0199591,1.74408,2.20021,0.0175413,22.8757,6.79461,33.6524
4100,0.0197991,1.7457,2.2036,0.017462,23.1277,6.64834,33.763
4200,0.0196642,1.74497,2.20713,0.0173908,23.392,6.50865,33.8901
4300,0.0196319,1.74587,2.22283,0.0173619,23.7207,6.37772,34.1044
4400,0.0203914,1.74387,2.22098,0.0172927,24.017,6.25149,34.2714
4500,0.0202103,1.73866,2.21807,0.017218,24.3017,6.13175,34.4279
4600,0.0201372,1.74592,2.23586,0.0171607,24.582,6.01723,34.6186
4700,0.0200352,1.74449,2.23373,0.0170977,24.9218,5.90961,34.8471
4800,0.0199671,1.74225,2.23825,0.0170453,25.2108,5.81157,35.0402
4900,0.0197978,1.73909,2.23975,0.0169882,25.4775,5.70945,35.2029
5000,0.0197106,1.74046,2.24961,0.0169306,25.7961,5.61785,35.441
5100,0.0196583,1.74302,2.25225,0.0168899,26.1402,5.52686,35.6991
5200,0.019626,1.73939,2.24952,0.016829,26.4629,5.44194,35.9305
5300,0.0195541,1.74759,2.27091,0.0167787,26.7856,5.35659,36.1974
5400,0.0195104,1.75229,2.27921,0.0167382,27.1206,5.27947,36.4681
