Iteration,Events,Ants,Evaporation,Update,Render,Blit,Total_Iter
100,0.0789361,3.5648,0.829626,0.0208738,12.5022,15.8982,32.8952
200,0.0553739,3.40424,0.804262,0.0215848,12.914,15.8987,33.0986
300,0.0515256,3.40202,0.805537,0.0217154,13.0906,15.7943,33.1663
400,0.052031,3.43831,0.806313,0.0215767,13.2812,15.6013,33.2012
500,0.0498496,3.45153,0.804007,0.0216506,13.5693,15.3245,33.2214
600,0.0476781,3.38958,0.792761,0.0214249,13.9429,15.0399,33.2348
700,0.0458294,3.33657,0.790268,0.0211274,14.3219,14.7284,33.2447
800,0.0443033,3.30173,0.784262,0.0210282,14.7796,14.3202,33.2516
900,0.0432194,3.271,0.776442,0.0209076,15.166,13.9795,33.2576
1000,0.0422285,3.23978,0.769571,0.0207945,15.6395,13.5501,33.2624
1100,0.0413664,3.21719,0.763743,0.020703,16.1164,13.1059,33.2658
1200,0.0406129,3.19137,0.756735,0.0206858,16.598,12.6611,33.269
1300,0.0399084,3.16951,0.752733,0.0206792,17.0431,12.2453,33.2717
1400,0.039329,3.15285,0.748127,0.0206215,17.5099,11.8027,33.274
1500,0.0386888,3.1348,0.743363,0.0205501,17.961,11.3767,33.2756
1600,0.0381565,3.11164,0.737675,0.0204587,18.4388,10.9302,33.2774
1700,0.0372728,3.083,0.731274,0.0203345,18.951,10.4556,33.2789
1800,0.0365125,3.06091,0.728975,0.020142,19.4546,9.97872,33.2804
1900,0.0358288,3.03451,0.724896,0.0199086,19.9106,9.55532,33.2816
2000,0.0354946,3.02193,0.723476,0.0196399,20.3091,9.17605,33.2862
2100,0.0350717,2.99178,0.717611,0.0193078,20.6871,8.83257,33.2839
2200,0.0346131,2.95687,0.710976,0.0189697,21.0531,8.50982,33.2849
2300,0.0339896,2.92487,0.704155,0.0186845,21.3813,8.2298,33.2933
2400,0.0332315,2.88842,0.695554,0.0183658,21.7124,7.94707,33.2955
2500,0.0326234,2.85035,0.688217,0.0180598,22.0144,7.69091,33.295
2600,0.0319929,2.8173,0.682787,0.0178466,22.2961,7.44842,33.2949
2700,0.0313836,2.78523,0.675954,0.017596,22.5573,7.22809,33.296
2800,0.0307654,2.74514,0.667505,0.0173205,22.8205,7.01519,33.2969
2900,0.0302226,2.70835,0.659699,0.0170479,23.0633,6.81799,33.2971
